dep,week,pop,P,cl_age90
1,2020-S21,83001,0,9
1,2020-S21,84665,2,19
1,2020-S21,65496,4,29
1,2020-S21,85588,6,39
1,2020-S21,89678,4,49
1,2020-S21,89791,0,59
1,2020-S21,73500,4,69
1,2020-S21,51011,4,79
1,2020-S21,26830,10,89
1,2020-S21,7395,7,90
1,2020-S21,656955,41,0
1,2020-S22,83001,0,9
1,2020-S22,84665,2,19
1,2020-S22,65496,0,29
1,2020-S22,85588,2,39
1,2020-S22,89678,2,49
1,2020-S22,89791,1,59
1,2020-S22,73500,2,69
1,2020-S22,51011,2,79
1,2020-S22,26830,3,89
1,2020-S22,7395,5,90
1,2020-S22,656955,19,0
1,2020-S23,83001,0,9
1,2020-S23,84665,0,19
1,2020-S23,65496,2,29
1,2020-S23,85588,2,39
1,2020-S23,89678,2,49
1,2020-S23,89791,0,59
1,2020-S23,73500,2,69
1,2020-S23,51011,0,79
1,2020-S23,26830,5,89
1,2020-S23,7395,5,90
1,2020-S23,656955,18,0
1,2020-S24,83001,0,9
1,2020-S24,84665,3,19
1,2020-S24,65496,4,29
1,2020-S24,85588,0,39
1,2020-S24,89678,3,49
1,2020-S24,89791,1,59
1,2020-S24,73500,3,69
1,2020-S24,51011,0,79
1,2020-S24,26830,0,89
1,2020-S24,7395,1,90
1,2020-S24,656955,15,0
1,2020-S25,83001,1,9
1,2020-S25,84665,1,19
1,2020-S25,65496,2,29
1,2020-S25,85588,5,39
1,2020-S25,89678,2,49
1,2020-S25,89791,1,59
1,2020-S25,73500,1,69
1,2020-S25,51011,1,79
1,2020-S25,26830,2,89
1,2020-S25,7395,2,90
1,2020-S25,656955,18,0
1,2020-S26,83001,2,9
1,2020-S26,84665,6,19
1,2020-S26,65496,7,29
1,2020-S26,85588,1,39
1,2020-S26,89678,6,49
1,2020-S26,89791,6,59
1,2020-S26,73500,1,69
1,2020-S26,51011,2,79
1,2020-S26,26830,4,89
1,2020-S26,7395,1,90
1,2020-S26,656955,36,0
1,2020-S27,83001,2,9
1,2020-S27,84665,4,19
1,2020-S27,65496,1,29
1,2020-S27,85588,6,39
1,2020-S27,89678,2,49
1,2020-S27,89791,2,59
1,2020-S27,73500,1,69
1,2020-S27,51011,0,79
1,2020-S27,26830,1,89
1,2020-S27,7395,1,90
1,2020-S27,656955,21,0
1,2020-S28,83001,1,9
1,2020-S28,84665,2,19
1,2020-S28,65496,4,29
1,2020-S28,85588,2,39
1,2020-S28,89678,2,49
1,2020-S28,89791,1,59
1,2020-S28,73500,2,69
1,2020-S28,51011,1,79
1,2020-S28,26830,2,89
1,2020-S28,7395,0,90
1,2020-S28,656955,17,0
1,2020-S29,83001,0,9
1,2020-S29,84665,1,19
1,2020-S29,65496,0,29
1,2020-S29,85588,4,39
1,2020-S29,89678,3,49
1,2020-S29,89791,1,59
1,2020-S29,73500,2,69
1,2020-S29,51011,0,79
1,2020-S29,26830,2,89
1,2020-S29,7395,0,90
1,2020-S29,656955,13,0
1,2020-S30,83001,0,9
1,2020-S30,84665,2,19
1,2020-S30,65496,14,29
1,2020-S30,85588,11,39
1,2020-S30,89678,7,49
1,2020-S30,89791,6,59
1,2020-S30,73500,5,69
1,2020-S30,51011,2,79
1,2020-S30,26830,1,89
1,2020-S30,7395,1,90
1,2020-S30,656955,49,0
1,2020-S31,83001,5,9
1,2020-S31,84665,3,19
1,2020-S31,65496,21,29
1,2020-S31,85588,16,39
1,2020-S31,89678,7,49
1,2020-S31,89791,10,59
1,2020-S31,73500,3,69
1,2020-S31,51011,6,79
1,2020-S31,26830,0,89
1,2020-S31,7395,0,90
1,2020-S31,656955,71,0
1,2020-S32,83001,3,9
1,2020-S32,84665,7,19
1,2020-S32,65496,18,29
1,2020-S32,85588,9,39
1,2020-S32,89678,9,49
1,2020-S32,89791,9,59
1,2020-S32,73500,5,69
1,2020-S32,51011,2,79
1,2020-S32,26830,2,89
1,2020-S32,7395,2,90
1,2020-S32,656955,66,0
1,2020-S33,83001,3,9
1,2020-S33,84665,11,19
1,2020-S33,65496,37,29
1,2020-S33,85588,10,39
1,2020-S33,89678,12,49
1,2020-S33,89791,9,59
